Bin 0: Accuracy: 0.4411764705882353, Confidence: 0.06302569525865573, Size: 34.0
Bin 1: Accuracy: 0.3387096774193548, Confidence: 0.15332786824743383, Size: 62.0
Bin 2: Accuracy: 0.5054945054945055, Confidence: 0.2506215601963951, Size: 91.0
Bin 3: Accuracy: 0.49523809523809526, Confidence: 0.3491140473384005, Size: 105.0
Bin 4: Accuracy: 0.4824561403508772, Confidence: 0.4554884914645164, Size: 114.0
Bin 5: Accuracy: 0.6302521008403361, Confidence: 0.5509960264739503, Size: 119.0
Bin 6: Accuracy: 0.6037735849056604, Confidence: 0.6540970067409089, Size: 106.0
Bin 7: Accuracy: 0.7978723404255319, Confidence: 0.7548754101070771, Size: 94.0
Bin 8: Accuracy: 0.8955223880597015, Confidence: 0.8481155797056719, Size: 67.0
Bin 9: Accuracy: 0.9555555555555556, Confidence: 0.9367222052929998, Size: 45.0
ECE: 0.10608458481494853
