Bin 0: Accuracy: 0.125, Confidence: 0.06315864984198435, Size: 64.0
Bin 1: Accuracy: 0.2413793103448276, Confidence: 0.1528703168959614, Size: 87.0
Bin 2: Accuracy: 0.4166666666666667, Confidence: 0.2508380794852224, Size: 84.0
Bin 3: Accuracy: 0.5119047619047619, Confidence: 0.35225497733847116, Size: 84.0
Bin 4: Accuracy: 0.5125, Confidence: 0.45202571872205943, Size: 80.0
Bin 5: Accuracy: 0.7181818181818181, Confidence: 0.5499055331155001, Size: 110.0
Bin 6: Accuracy: 0.7572815533980582, Confidence: 0.6520760360915644, Size: 103.0
Bin 7: Accuracy: 0.845360824742268, Confidence: 0.7450916468864103, Size: 97.0
Bin 8: Accuracy: 0.945054945054945, Confidence: 0.8478481927621154, Size: 91.0
Bin 9: Accuracy: 0.8918918918918919, Confidence: 0.9282984499994388, Size: 37.0
ECE: 0.11123271394231557
