Bin 0: Accuracy: 0.13636363636363635, Confidence: 0.060921049373679814, Size: 22.0
Bin 1: Accuracy: 0.21875, Confidence: 0.14882985502911256, Size: 64.0
Bin 2: Accuracy: 0.3048780487804878, Confidence: 0.25432566593617534, Size: 82.0
Bin 3: Accuracy: 0.3877551020408163, Confidence: 0.35719406946255455, Size: 98.0
Bin 4: Accuracy: 0.5511811023622047, Confidence: 0.4507500468435754, Size: 127.0
Bin 5: Accuracy: 0.6101694915254238, Confidence: 0.5509779095440652, Size: 118.0
Bin 6: Accuracy: 0.7346938775510204, Confidence: 0.6501505973525707, Size: 98.0
Bin 7: Accuracy: 0.8674698795180723, Confidence: 0.7494488368992592, Size: 83.0
Bin 8: Accuracy: 0.9702970297029703, Confidence: 0.8489817691610095, Size: 101.0
Bin 9: Accuracy: 0.9545454545454546, Confidence: 0.9363675903942877, Size: 44.0
ECE: 0.07664027340105649
